id,dataset_name,folding,method
5s_Ligia-oceanica-1,archiveII,.((((((((....((((((((..(((..((((..((....))..))))..)))...)))))).))(((((((..((.(((((.(((....))).))))).)))))))))))))))))...,LinearFold-V
5s_Scyliorhinus-canicula-1,archiveII,((((((.((......((((((.....((((((..((....))..))))..))....))))))...(((((((.....(((((.(((....))).)))))...))))))))).))))))..,LinearFold-V
srp_Sola.tube._DR037646,archiveII,....((((((((((((........((((((((((((((.....((((......(((.((((.(((((((((.((((((.((((((((.((....)).)))))))).)))))).....(((((((...((......))...))))))).((((........))))..)))))))))..)))))))....)))).....))))))))))))))))))))))))))............................,LinearFold-V
srp_Homo.sapi._NR_002715,archiveII,..((((((((......)))))))).....(((((..(((((....)))))))))).((.(((((((.((.((((....(((((.(((((((.(((((.((((((((((.....((((...........((((.(((((..((((((....))))))..))))).))))..........)))).....)))).)))))).......((((((......(((((((((....))).))))))....))))))..)))))))))))).))))))))).))..)).)))))..))..........,LinearFold-V
srp_Chla.rein._SDB-3055,archiveII,....(((((((........)))))))..........(((((((....................))))))).(((((((.((((((((.......(((.(((((.((((.((((.((((((((.((((((((((((....)))))).)))))).)))))......(((((....(((......(((....)))....)))....)))))..))).))))..))))))))))))........)))))))))))))))........((((((....))))))...........,LinearFold-V
tRNA_tdbR00000526-Saccharomyces_cerevisiae-4932-Ini-CAU,archiveII,(((((((..((((.......)))).(((((.......))))).....(((((.......))))))))))))....,LinearFold-V
grp1_a.I1.e.U.maydis.C1.SSU.943,archiveII,....((((((......(((.((.....)).)))....)))))).....(((((((....))).))))...........................(((((((....))))))).............((((((....(((......(((((((((((((.((((((((....)))..))).)).))(((((((.....))))..)))..)))).....)))))))...)))...)))))).(((((((.((((....)))).))..(((((...(((((.........(((((((((((..(((((((....(((((.....)))))....)))))))...)))))))))))......))))).)))))..........)))))...............................................,LinearFold-V
tmRNA_Bact.frag._CR626927_1-398,archiveII,......................................((((((.((((.((((......................................................)))).)).)))))))).........................(((.(((((...))))).))).....(((((((((((((((..........))).)))))....))))))).................((((((((((......))))))))))..................((((((....................))))))...........(((.....((((((.........)))))).....))).........(((((.......)))))...........,LinearFold-V
srp_Zygo.roux._BN000170,archiveII,...........(((((.((((........))))))))).......................(((((((((((.........(.((((((((....)))))))).).....(((((......)))))))))).))))))..................((((((((((((........)).((((((((((....)))))))))).)))))))))).(((((((......)))))))........,LinearFold-V
srp_Sphi.alas._CP000356,archiveII,(((((((.(((((((((((..((((((.....((((....(((....)))....))))..))))))..))).))))..))))...))))))),LinearFold-V
tRNA_tdbR00000369-Saccharomyces_cerevisiae-4932-Arg-ICG,archiveII,....((((((((....))))))))..(((((.......))))).....(((((.......)))))...........,LinearFold-V
srp_Leis.aeth._AY722731,archiveII,..((((.(((((((...((((.((((((((((.....))))))).))).))))....))))))).))))......(((((.(((((((((((((....)))).)).))))))))))))............,LinearFold-V
5s_Salmonella-enterica-6,archiveII,((((((((((.....((((((((....(((((((.............))))..)))...)))))).)).((.((....((((((((...))))))))....)).))...)))))))))).,LinearFold-V
tRNA_tdbR00000216-Mycoplasma_capricolum-2095-Leu-BAA,archiveII,........................................................((((((.......))))))..........,LinearFold-V
5s_Lactococcus-lactis-2,archiveII,.((((((((..((((((((((........(((((.......)))))...........)))))).............((((((((....))))))))......))))))))))))..,LinearFold-V
RNaseP_SM-A2743,archiveII,........(((((.((((..(((((......)))))....)))).))))).................................(((((.((((((((....)))))))).)))..)).......((((((.......))))))..((((((((....))))))))...................((((..((((......((((((......(((((...)))))...))))))......))))))))..((((((((....))))))))..............(((.(((((.((.((....)).)).))))))))..............,LinearFold-V
tRNA_tdbR00000002-Haloferax_volcanii-2246-Ala-CGC,archiveII,(((((((..((((.......))))(((((.(((....))).))))).(((((.......))))))))))))....,LinearFold-V
5s_Auricularia-auricula-judae-1,archiveII,..(((((((....((((((((...................................)))))).))((((((......((.((.(((....))))).)).....)))))))))))))..,LinearFold-V
5s_Arthrobacter-luteus-1,archiveII,....(((((((....((((((((.....((((((.............))))..))....)))))).)).((.((....((((((((....))))))))....)).))..)))))))......,LinearFold-V
5s_Emericella-nidulans-6,archiveII,(((((((((....((((((((.......((((............)))).........)))))).))((((((......(((((.(((....)))))))).....))))))))))))))).,LinearFold-V
tRNA_tdbR00000484-Escherichia_coli-562-Trp-CCA,archiveII,(((((((...............(((((((((.......))))).))))(((((.......))))))))))))....,LinearFold-V
tmRNA_Tric.eryt._CP000393_1-398,archiveII,..................(((((((((......)))))))))....((((.((((((........)))))).....)))).................................(((((((((((((..(((.((((((((((.((((((...................)))))).)))).(((((((((.............)))))))))((((((((....(((((((((............(((((.....))))).............))))))))).((((((((......))))))))...........))))))))...))))..)).)))..))))))))))))).................(((((.......)))))...........,LinearFold-V
tRNA_tdbR00000451-Mycoplasma_capricolum-2095-Val-UAC,archiveII,(((((((.(((((........)))))(((((.......))))).....(((((.......))))))))))))....,LinearFold-V
tRNA_tdbR00000155-Mycoplasma_mycoides-2102-Ile-GAU,archiveII,((((((...((((.........)))))))))).............(((((((((.......))))......))))).,LinearFold-V
5s_Bacillus-methanolicus-8,archiveII,((((((((((..(((((((((...((..((((.............))))..))....)))))).((.(((((....))))).))...)))(((((....))))).)))))))))).,LinearFold-V
RNaseP_R.norvegicus,archiveII,(((((((..((((((((.......((((((.((.......)).))))))((((((.(((..(((.((((...((((.....))))...)))).)))))).)))))).))))...))))..)))))))................(((((((..((((((.(((....))))))))))))))))............((((((...............))))))..(((((((.((....)))))))))...........,LinearFold-V
5s_Chlamydophila-pneumoniae-2,archiveII,((((((((((................................................................................................))))))))))...,LinearFold-V
tmRNA_Prev.rumi._TRW-264731_1-401,archiveII,...........((((.(.((((((((.......................................................................................)))))))).).)))).........................(((((((((...))))))))).....(((((((....((((..........))))........)))))))...((((.((((((....(((......))))))))).))))....................(((((((((.((..........)).))))))))).......................................................(((((.......)))))...........,LinearFold-V
5s_Leifsonia-xyli-1,archiveII,..((((((((((((.(((((((((....((((((.............))))..)).....)))))).)))..))))..((((((((....))))))))............))))))))...,LinearFold-V
5s_Vitreoscilla-filiformis-1,archiveII,(((((((((.....((((((((....(((((((.............))))..)))...)))))).)).((.((....((((((.....))))))....)).))...))))))))).,LinearFold-V
RNaseP_E.eschsholtzii,archiveII,........................(((((((((((((..........(((((((..(((((((...((((....((((.((.......)).))))..))))...)))))))..))))))).............)))))))))))))...............(((((((((...((((.((((.......))))(((((.....((((.(((.......))).)))).....))))).))))...)))))))))......((((....(((((..(((((((((....))))))...)))..)))))....))))...,LinearFold-V
tRNA_tdbR00000621-Nicotiana_rustica-4093-Cys-GCA,archiveII,(((((((..((((.......))))....((((...........))))(((((.......))))))))))))....,LinearFold-V
5s_Ureaplasma-parvum-2,archiveII,.............((((((........(((((.......)))))...........)))))).........................................,LinearFold-V
srp_Stre.pyog._AE009969,archiveII,(((((((((((((..........((((....(((....)))....))))...........))))))).))))))....,LinearFold-V
16s_B.burgdorferi_domain2,archiveII,....................((((...((((((((((((..((((.(((((.....((((((.....))))))...)))))))))...))))))))...((((((((...(((((((.(..((((((((((..........((((.......))))....))))))))))......).)))))))..))).)))))..))))...))))...((((((((.......((((.........))))....)))))))).........(((((((((((((.........((((((......)))))))))))))))))))..............((((....)))).....,LinearFold-V
RNaseP_D.radiodurans,archiveII,....(((((((((((.(((((((.((((((..(((((.....))))).))))))......(((.((((.((.....((.((((((((......(((((((((((...(((..(((((.......((((((.((((.(((((.......................................)))))...........))))))))))(((((.(((((((((((.......((((((.......))))))..((((((((....)))))))).))))))).))))))))))))))..)))))))))..(((((..((((((.....))))))..)))))......))))).....)))))))).))....)).))))..)))....)))))))((((.((((((....)))))).)))).................))))))))))).........(((((((((.(((.....))).))))))))),LinearFold-V
5s_Planocera-reticulata-1,archiveII,....................................((((((.(((.((......)).)))))))))..................((((((.((((((.....)))))))))))).....,LinearFold-V
5s_Methylococcus-capsulatus-3,archiveII,(((((((((.....((((((((....(((((((.............))))..)))...)))))).)).((.((....(((((........)))))....)).))...)))))))))..,LinearFold-V
srp_Burk.ceno._CP000458,archiveII,((((((((((((((..((((((((((((.....((((....(((....)))....))))..)))))..)))))))....)))))...))))))))),LinearFold-V
srp_Alca.bork._AM286690,archiveII,(((((((((((((.(((((..((((..((((((.....((((....(((....)))....))))..)))))).....))))..)))))...))))))))))))),LinearFold-V
5s_Shewanella-oneidensis-2,archiveII,.(((((((((.....((((((((....(((((((.............))))..)))...)))))).))(((.((....((((((((...))))))))....)).)))..)))))))))..,LinearFold-V
srp_Caul.cres._AE005700,archiveII,(((((((((((((.(((((..((((......((((....(((....)))....))))...)))).....)))))..))))..)))))))))...........,LinearFold-V
tRNA_tdbR00000299-Asterias_amurensis-7602-Asn-GPU,archiveII,.........((((.......)))).................(((...(((((.......)))))...))).....,LinearFold-V
5s_Fusarium-lunulosporum-7,archiveII,(((((((((....((((((((.......((((...........))))..........)))))).))(((((.......(((((.(((....))))))))......)))))))))))))),LinearFold-V
RNaseP_SM-A4977,archiveII,.............(((((........((((((((((.....)))))).(((((.(((.......(((((((.(((.(((((.........))))).))).)))))))........((((.....((((((.......))))))..((((((((....)))))))))))))))..))))))))))))))..(((((.....((((((.((((.(((...)))...)))))))))).....)))))......((((((((....))))))))..................((((((((.((....)).)))))))).................,LinearFold-V
tRNA_tdbR00000178-Mycoplasma_capricolum-2095-Lys-UU,archiveII,(((((((..((((........)))).(((((.......))))).....(((((.......))))))))))))....,LinearFold-V
RNaseP_N.gonnorhoeae,archiveII,(((..(((((((...((((..((((.((..((..((....((((........)))).((((((..((((....((((((((.((..(((..((((....)))).)))...))..)))..........((((((....(((((....)))))...)))..(((((....((((((.......))))))...)))))))).........)))))......))))....))))))....))..)).))))))..)))).)))))))))).....(((((((((((.(((..((((((((....))))))))...))).)))..))))))))(((((....(((....))).))))).......,LinearFold-V
RNaseP_ESH7-16,archiveII,.............(((((...((((.(..((((((((.(((((((.((.((............)).)).))))...........((((((((....(((((((((((....)))))))))))......))))))))....((((((.......)))))).))))))))))).).))))...((.(((......))).)))))))......................(((((.((((((.......)))))).(((((((((......)))))))))..)))))...................................,LinearFold-V
srp_Mus.musc._AC126244,archiveII,.(((((.((((.((((((....))).))))).))..)))))......(((((.((.(..(((((((.(((((((....(((((.(((((((.(((((.((((((((((.....((((...........((((.(((((..((((((....))))))..))))).))))..........)))).....)))).)))))).......((((((......(((((((((....))).))))))....))))))..)))))))))))).))))))))))))..)).)))))..).)))))))....,LinearFold-V
5s_Bacillus-halodurans-2,archiveII,((((((((((...((((((((...(((((.((((.......))))..))).))....)))))).)).((.((....((.(((((...))))).))....)).)).)))))))))).,LinearFold-V
5s_Yersinia-pseudotuberculosis-1,archiveII,((((((((((((((.((((.(((((..(((((((.............))))..)))....))))).))))..))))..((((((((...))))))))............)))))))))).,LinearFold-V
srp_Arch.fulg._AE000782,archiveII,(((((((..(((((((((((.....)))))))...........((((......)))).))))...(((..(((..((((((((..(((((((((...(((((((((((((......((((((((((((((((((((((..((((((.((((.((((....)))).))))))))))....((((((.....((((....(((....)))....))))..)))))).)).))))).))))))))...)))))))...)))))))))))))....)))))))))..))))))))..)))..)))..))))))),LinearFold-V
tRNA_tdbR00000489-Neurospora_crassa-5141-Trp-NCA,archiveII,(((((((.(((((((.(((................))).)))))))(((((.......))))))))))))....,LinearFold-V
16s_H.sapiens.mito_domain4,archiveII,.............((((((................................................)))))).................(((((((((....)))))))))........,LinearFold-V
16s_B.burgdorferi_domain4,archiveII,...............((((.(((..((((((.(((((...........((((..(((....))).)))).........))))).))))))..))).))))...............(((((((((....)))))))))..........,LinearFold-V
5s_Gnetum-gnemon-1,archiveII,(((((((((........((((.......((((............))))......)))).(((.(((((.........((((((.((....))))))))..))))).))))))))))))..,LinearFold-V
tRNA_tdbR00000592-Ascaris_suum-6253-Gln-UG,archiveII,..........................................................,LinearFold-V
5s_Saccoglossus-kowalevskii-1,archiveII,(((((((((....((((((((...((..((((..((....))..))))..))....)))))).))(((((((.....((.((.(((....))))).))....))))))))))))))))..,LinearFold-V
5s_Streptomyces-nodosus-4,archiveII,..(((((((((....((((((((.....((((((.............))))..))....)))))).)).((.((....((((((((....))))))))....)).))..)))))))))..,LinearFold-V
5s_Pichia-membranifaciens-1,archiveII,(((((((((......((((((....................................))))))...((((((.......(((((..((....)).))))).....))))))))))))))),LinearFold-V
5s_Tricharina-hiemalis-1,archiveII,(((((((((....(((((((........((((............)))).........))))).))(((((((.....(((((.(((....))))))))....)))).)))))))))))),LinearFold-V
tmRNA_Pseu.syri._CP000075_1-392,archiveII,(((((((............((((((((...........(((((....((((((((((((((((((((((...........((((((......)))))).............))))))(((...(((..((((((....))))))..))).))).)))))((.((((((..(((.(((((...(.((((((((((((.........................)))))..)))).))).)...)))))))))))))).))......)))).)))))))......)))))((((..(((((...........................................))))).))))..))))))))...(((((.......))))))))))))....,LinearFold-V
5s_Candida-glabrata-1,archiveII,(((((((((......((((((....................................))))))...((((((.......(((((.(((....)))))))).....))))))))))))))).,LinearFold-V
5s_Finegoldia-magna-2,archiveII,.(((((((......((((((....................................))))))...(((.((....((((((((....))))))))....)).))).)))))))....,LinearFold-V
tmRNA_List.gray._AF440336_1-321,archiveII,((((((((..(((.((((((((.(((((((((((((((((((................................................................................)))))))))))..((((........((((.((((.(((((((((((....)))))).....((((((.......((((((....................)))))).)))))).....)))))...)))))))).......))))............))))........))))....))))))))..))))))))))).,LinearFold-V
5s_Tremella-encephala-1,archiveII,...((((((....((.(((((.....(((((................)))))....)))))..))((((((......(((((.(((....)))))))).....))))))))))))...,LinearFold-V
srp_Haem.somn._CP000436,archiveII,.....(((((((((((((....((((((((((((...((((....(((....)))....)))))))))))))))).)))))))))))))............,LinearFold-V
tRNA_tdbR00000390-Escherichia_coli-562-Ser-CGA,archiveII,(((((((..(((...........))).(((((.......))))).((((((....)))))).(((((.......))))))))))))....,LinearFold-V
5s_Pasteurella-multocida-1,archiveII,...((((((((.....((((((((....................................)))))).)).((.((....((((((((...))))))))....)).))...)))))))).,LinearFold-V
RNaseP_S.unisporus,archiveII,.........................................((((((..((((((....)))))).....))))))........(((((((((......(((.((((((((((((...(((((....)))))...)))))))))))).)))..)))))))))............(((.(((((((.......)))))))..)))....................((((((......))))))..,LinearFold-V
5s_Bacillus-thuringiensis-3,archiveII,(((((((((...((((((((...((..((((.............))))..))....)))))).)).((..........(((((...)))))..........)).))))))))).....,LinearFold-V
srp_Ther.koda._AP006878,archiveII,((((((((((..((((..((...((((((...((.......))....))))))....))..))))...(((((((((..((..(((....((((((((....((((((((....((.....((((((((((((((((((((((..(((((.(((((((((....)))))))))..)))))....((((((.....((((....(((....)))....))))..)))))).))).)))).))))))))...)))))))....)).))))))))....))))))))....)))..))..)))))))))..)))))))))),LinearFold-V
grp1_a.I1.e.L.dispersa.UNK.SSU.287,archiveII,..........(((((((........))))))).................(((((.((((((((((.((((((((((...)))))).......(((((((((.(((....((((((........))))))..(((((..(((.......))).)))))...))).))))))))).......)))).)))).))).)))...)))))........................,LinearFold-V
5s_Bacillus-megaterium-1,archiveII,((((((((((...((((((((...((..((((.............))))..))....)))))).)).((.((....((.(((((...))))).))....)).)).)))))))))).,LinearFold-V
5s_Haemophilus-influenzae-6,archiveII,((((((((......(((((((....((((((((...........)))))..)))...))))))).((((.......((((((((...))))))))........)))))))))))),LinearFold-V
5s_Xenopus-laevis-5,archiveII,(((((((((....((((((((...((..((((..((....))..))))..))....)))))).))(((((((.....((.((...........)).))....))))))))))))))))..,LinearFold-V
RNaseP_D.vulgaris,archiveII,((((((((((.(((..((.(((.(((((((....(((.(((.(....((((..((((....)))).)))).........).))).)))...))))))).))).))..)))...((((((...(((((((((....)))))))..))....(((.((((((.......)))))).)))(((((.(((...........((((((.........((.((((..((((......(((((((....(((((...)))))..))))))).....))))))))..))((((((....))))))))))))..........))).)))))..(((.......))).)))).))))))))))))....,LinearFold-V
srp_Neis.gono._AF482014,archiveII,((((((((.(((((((((((..((((((.....((((....(((....)))....))))..))))))..))).))))..))))...)))))))),LinearFold-V
tRNA_tdbR00000506-Streptomyces_griseus-1911-Ini-CAU,archiveII,..................((((((...(((((.......))))).((..(((((.......)))))..)))))))).,LinearFold-V
5s_Thermotoga-sp.-2,archiveII,.(((((((((((....(((((((((..(((.((.(((((......))))).))..)))...)))))))))(((.((....((((((((....))))))))....)).))))))))))))))..,LinearFold-V
5s_Pyrococcus-furiosus-1,archiveII,(((((((....(((((((((...((((((..((.....))..))))..))...))))))).))..((((((((...((((((((.....))))))))..))))))))..)))))))......,LinearFold-V
srp_Fuso.nucl._AE009951,archiveII,(((((((((((((((((((((((((.(((.....((((....(((....)))....))))...)))..))))))))).))))))).)))))))))....,LinearFold-V
RNaseP_SL1-1,archiveII,..((((((((((........))))).........))))).............((.(((((....))))).))............((((.((((......(((((...(((....)))....)))))))))...)))).......(((...((((...))))....))).................((((.(((.((((..(((...........)))..)))).))))))).....................,LinearFold-V
tRNA_tdbR00000505-Mycoplasma_mycoides-2102-Ini-CAU,archiveII,.((((((..((((........)))).(((((.......))))).....(((((.......))))))))))).....,LinearFold-V
5s_Fusobacterium-nucleatum-4,archiveII,.....((((.((((((.((.......)))))))).)))).................((((....((((..((((.....))))..))))...))))....................,LinearFold-V
tmRNA_Myco.arth._TRW-243272_1-394,archiveII,............................................((((((..........)))))).................................((((((((((...)))).)))))).(((((((.....)))))))......................................((((((((((...........)))))))))).....................................((((((((............................................................))))))))...................................(((((.(((((.......)))))....)))))..,LinearFold-V
srp_Aspe.fumi._GSP-41122,archiveII,........................((((..(.((.((((...(((((((..(((((....(((....)))((((((..(((((.((((((((.((((((((((((((.(((((.(((((.((....)))))))...))))))))).........(((((((..((((...((((....))))...)))))))))))))))))))))..))).)))))....))))).)))))).)))))..)))))))...)))).)).)..))))............,LinearFold-V
tRNA_tdbR00000588-Aeropyrum_pernix-56636-Asp-GUC,archiveII,(((((((.....................((((((.......))))))...(((((.......))))))))))))....,LinearFold-V
RNaseP_CPA63,archiveII,.......((((.........))))......(((((.....))))).((((....))))........................(((((...(((((((....))))))).)))..)).......((((((.......)))))).((((((((....))).)))))...................((((..((((......((((((..((((.((((((....))))).).))))..(((((...)))))..)))))).....))))))))..((((((((....))))))))....................................,LinearFold-V
5s_Corynebacterium-glutamicum-1,archiveII,...((((((((((((.(((((.(((....((((((.............))))..))....))).))))).(((......((((((((....)))))))).....))))))))))))))).,LinearFold-V
srp_Tric.spir._GSP-6334,archiveII,..((((((((......))))))))..............(((((...(((((((............(((((((....(((((((((((.((............(((((((((.(((((.((.((((((.(((.((((((.((((((....)))))).)))))).))).........(((.(......(((....(((....)))....)))....).))).))))))..))..))))))))...)))))).......)).)))))))))))))))))).............)))))))...))))).,LinearFold-V
RNaseP_C.acetobutylicum,archiveII,...(((((((.(((((((((((((..........((((.(((...)))...))))...((((((((...(((((.(((((.........................................................................................................................................................))))).)))))))))))))...))))))(((......((((((((....)))))))).......)))))))))).............)))))))..................,LinearFold-V
srp_Bras.napu._EE416381,archiveII,(((..((((((.................))))))...)))...((((((((((.......(((((..((.((((((..(((((((((..(((.....(((((((((....(((((.(((((((((.((((((((((((((((((....))))).)))))))))..............(((..((((((((((....))))))...))))..))).))))..)))))))))..)))))......)))))))))))).))))))))).......)))))).)).))))).........))))))))))..,LinearFold-V
5s_Saccharopolyspora-rectivirgula-1,archiveII,..(((((((((.....((((((((.....((((((.............))))..))....)))))).)).((.((....((((((((....))))))))....)).))...)))))))))..,LinearFold-V
RNaseP_Nocardiodes-ATCC39419,archiveII,.............((((((.....))))))((((....)))).........................((((.((.(((((((((((((....))))))))))))))).))))..........((((((.......))))))..((((((((....))))))))..(((((..((((((.....(((..((((.....(((((((((....))))))))).(((((((......((((.....))))..)))))))....)))))))...((((((((....)))))))).....)))..))).)))))..,LinearFold-V
srp_Onch.volv._GSP-6282,archiveII,...........((((((.....))))))............(((((((....(((((...((.((((....(((((((((...........(((.(((.((((((..((((....))))..((((.(((.(((((((((....)))).))))).))).)))).........)))))).))))))...(((((..(((.((((((....((((((((.........))))..))))...))))))..))).)))))))))))))))))).)).....)))))...)))))))...,LinearFold-V
srp_Bras.napu._EE409827,archiveII,.....((((((...(((.((((((((((((.........(((((...)))))(((((...((((..........)))).)))))((((.((((.......)))).)))).(((((.(((((((((.((((((((((((((((((....))))).)))))))))..............(((..((((((((((....))))))...))))..))).))))..)))))))))..))))))))))))))))).)))....)))))).............................................,LinearFold-V
16s_P.staleyi_domain3,archiveII,..........(((((((((.(.((((......((((((.((.....((((.(....).))))...)).))))))...))))...(((..((...(((((((....)))))))...)).))).).)))))))))..............(((((....)))))................(((((..((..........))..)))))...(((((((...((.((........)).))....))))))).....(((((.....)))))......((((((((........))))))))............((((((.......))))))....((((((......((((.((...(((....)))...))...))))......))))))...........(((((((........)))))))....((((((((........(((((((.........)))))))......)))))..))).........,LinearFold-V
5s_Oerskovia-turbata-1,archiveII,....(((((((....((((((((.....((((((.............))))..))....)))))).))(((.((....((((((((....))))))))....)).))).)))))))....,LinearFold-V
5s_Acheta-domesticus-1,archiveII,(((((((((....((((((((..(((..((((..((....))..))))..)))...)))))).))((((((...((.(((((.(((....))).))))).)).)))))))))))))))..,LinearFold-V
srp_Baci.spha._D11418,archiveII,...(((.(((((((((((.((((.((((....))))))))....)))))).))))).)))......((((((...((((((((.((((((((......(((((((.((((((..........((((((((((..((((((.(((((.....((((....(((....)))....))))...)))))...))))))....))))))..))))........))).)))))))))).....))))))))))))))))...)))))).........,LinearFold-V
srp_Dani.rrer._BX469912,archiveII,(((...(((((((((.................))))))))).)))....................(((((((....(((.((.((((((..((((.((..((((((((...(((((.(.(((((((.(((.(((((.(((((((....))))))).))))).))).........(((((.....((((.....((....)).....))))...))))).))))))).)..))))).....)))))))))))))).)))))).)).)))))))))).......,LinearFold-V
16s_H.sapiens.mito_domain3,archiveII,............((((((((...((((...((((................................)))).(((((((((((...((.(((.....(((.((.((((......)))).)).)))......))).)))))))......((((.........(((.((((((((((((((.............))))))))))))))..))).........))))...(((((((.......)))))))...))))))........((.(((((((.........)))))))..))))))...))))))))......,LinearFold-V
srp_Homo.sapi._BF875598,archiveII,..((((((((......)))))))).....(((((..(((((....))))))))))....(((((((.(((((((....(((((.(((((((.(((((.((((((((((.....((((...........((((.(((((..((((((....))))))..))))).))))..........)))).....)))).)))))).......((((((......(((((((((....))).))))))....))))))..)))))))))))).))))))))))))..)).))))).,LinearFold-V
telomerase_AF221916.94-481,archiveII,.....((((..........((((((((.((((..(((((.......((((((((.................))))))))...)))))..)))))))))))))))).....................................(((((((((....)))))))))((((((((.((((.(((((((((((.((((..((((((((((((.((((.((((((......))))))..)))))))))........))))))).......))))..)))))))..))))....)))).....))))))))..(((((((......)))).)))(((((((((((((((((((........))))))).))))..))))))))...........,LinearFold-V
grp1_a.I1.b.Dermocarpa.sp.ATCC29371.C3.tMET,archiveII,........((((((((((((...........))))))))))))..(((((.(((((((((....))))))))).....(((.(((..((((((((.(((.......((((..((....(((...(((((....)))))..)))...)).)))).......))).)))..........)))))..))).)))...))))).........(((((((((((.....)))))))).)))(((((....)))))..................,LinearFold-V
tRNA_tdbR00000156-Bacillus_subtilis-1423-Ile-AU,archiveII,(((((((..((((.........)))).(((((.......))))).....(((((.......))))))))))))....,LinearFold-V
srp_Baci.subt._X06803,archiveII,.....................................................,LinearFold-V
5s_Thermus-sp.-1,archiveII,((((((((((....((((((((..(((..((((.(((......))).))))..)))...)))))).))(((.((....((((((((......))))))))....)).))).))))))))))..,LinearFold-V
srp_Sus.scro._BP459377,archiveII,....(((((((((....))))).....)))).(((((.((.(..(((((((.(((((((....(((((.(((((((.(((((.((((((((((.....((((...........((((.(((((..((((((....))))))..))))).))))..........)))).....)))).)))))).......((((((......(((((((((....))).))))))....))))))..)))))))))))).))))))))))))..)).)))))..).))))))).,LinearFold-V
5s_F_florifoWE,archiveII,..(((((((....((((((((..(((..((((............))))..)))...)))))).))((((((......((.((.(((....))))).)).....)))))))))))))...,LinearFold-V
5s_Xenopus-laevis-4,archiveII,(((((((((....((.(((((...((..((((..((....))..))))..))....)))))..))(((((((.....(((((.(((....))).)))))...))))))))))))))))..,LinearFold-V
5s_Candidatus-Portiera-aleyrodidarum-1,archiveII,((((((((((.....(((.((((....................................))))..)))((((((....((((((((....))))))))....))))))..)))))))))).,LinearFold-V
tRNA_tdbR00000348-Halobacterium_salinarum-2242-Arg-GCG,archiveII,(((((((.(((((((....)))))))(((((((.....)))))))...(((((.......))))))))))))....,LinearFold-V
srp_Heli.pylo._CP000241,archiveII,(((((((((((((((((((((((.((((((....((((....(((....)))....)))).)))))).))))))).))).)))))..))))))))....,LinearFold-V
RNaseP_S.negevensis,archiveII,...............................(((((.....))))).((((....))))...........................((((((.(((....))).)))))).............(((((((.....))))))).((((((((....))))))))..........................((((((((...................))))))))...((((((..........)))))),LinearFold-V
tRNA_tdbR00000532-Oryctolagus_cuniculus-9986-Ini-CAU,archiveII,(((((((..((((.......)))).(((((.......))))).....(((((.......))))))))))))....,LinearFold-V
srp_Geob.meta._CP000148,archiveII,.((((((((((((.(((((((((((......(((.....(((....))).....)))...)))).)))))))..)))))))))))).....,LinearFold-V
srp_Haem.infl._U32795,archiveII,(((((((((((((((.(((((..((((((((((((((....(((....(((....)))....))).))))))))..))))))....)))))....)))))))))))))))...,LinearFold-V
5s_Methanospirillum-hungatei-1,archiveII,.((((((((((......((((((...((..((((.............))))..))....))))))...(.((((((.....((((((.((....))))))))....)))))).)))))))))))..,LinearFold-V
5s_Filobasidiella-neoformans-1,archiveII,......(((....)))............................................(((((((((((......(((((.(((....)))))))).....)))))))))))....,LinearFold-V
srp_Para.bras._GSP-121759,archiveII,.((.((.((((((((.((....((((.(((.((....)).))).))))......)).)))))))).)).))......(((((((.((((.((((((((.(((.(((.((..((((((((....(((((.....(((((((.....))))))).....)))))((((((....))))))....(((((.((....)))))))))))))))(((.......)))..((((.(....(((...((((....))))...)))..).)))))).))).)))..))).)))))....)))))))))))................((((....))))........,LinearFold-V
srp_Meth.vann._CP000742,archiveII,......((((....(((....)))....))))....,LinearFold-V
tRNA_tdbR00000403-Bos_taurus-9913-Ser-UGA,archiveII,......................((((((.......))))))...(((((.......)))))...........,LinearFold-V
5s_Bacillus-halodurans-3,archiveII,.(((((((((...((((((((...(((((.((((.......))))..))).))....)))))).)).((.((....((.(((((...))))).))....)).)).)))))))))..,LinearFold-V
5s_Vibrio-tubiashii-1,archiveII,((((((((((.....((((((((....((((((((((......))).))))..)))...)))))).)).((.((....((((((((...))))))))....)).))...)))))))))).,LinearFold-V
tRNA_tdbR00000276-Escherichia_coli-562-Met-MAU,archiveII,((((((...((((.........))))..............((((((((...........))))))))))))))....,LinearFold-V
RNaseP_CPB69,archiveII,.......((((((......))))))......((((((.....)))))).((((((((((....))))))))))..........................((((.((((((.....)))))).))))............(((((((......(((...(((..............)))...)))...))))))).........((((.....))))...............(((((((((((((((......))))))..)))))))))...........((((((((....))))))))...................(((((....)))))................,LinearFold-V
tmRNA_Myco.tube._TRW-164513_1-368,archiveII,(((((((.((((((((((.........)))))((((((........(((((((((...........((....(((((((((...........((((.(((....))).))))(((((.(((.(((((.....))))).))))))))((((((.(((((..((....)).)))))...)))))).........((......((((.((((((.......)))))).)))).....)).)))))))..(((((....((((((.............)))))))))))..))...)).........)))))).))).....))))))......))))).....(((((.......))))))))))))....,LinearFold-V
srp_Baci.subt._X06802,archiveII,..(((.(((((((((((.((((.((((....))))))))....)))))).))))).)))......((((((...((((((((.((((((((......(((((((.((((((......((((((((((((((..((((((.(((((.....((((....(((....)))....))))...)))))...))))))....))))))...))))))))...))).)))))))))).....))))))))))))))))...)))))).........,LinearFold-V
